"Agent","UserAgent","HtmlFile","HeaderFile","VisibleTextFile","ProductSchemaFile"
"Browser","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","C:\Users\X290604\Projects\Crawler Review\browser.html","C:\Users\X290604\Projects\Crawler Review\browser.headers.txt","C:\Users\X290604\Projects\Crawler Review\browser.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\browser.product-schema.json"
"Google","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","C:\Users\X290604\Projects\Crawler Review\googlebot.html","C:\Users\X290604\Projects\Crawler Review\googlebot.headers.txt","C:\Users\X290604\Projects\Crawler Review\googlebot.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\googlebot.product-schema.json"
"Bing","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/148.0.0.0 Safari/537.36","C:\Users\X290604\Projects\Crawler Review\bingbot.html","C:\Users\X290604\Projects\Crawler Review\bingbot.headers.txt","C:\Users\X290604\Projects\Crawler Review\bingbot.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\bingbot.product-schema.json"
"OpenAI","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; +https://openai.com/searchbot","C:\Users\X290604\Projects\Crawler Review\oai-searchbot.html","C:\Users\X290604\Projects\Crawler Review\oai-searchbot.headers.txt","C:\Users\X290604\Projects\Crawler Review\oai-searchbot.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\oai-searchbot.product-schema.json"
"Claude","Claude-SearchBot/1.0 (+https://www.anthropic.com)","C:\Users\X290604\Projects\Crawler Review\claude-searchbot.html","C:\Users\X290604\Projects\Crawler Review\claude-searchbot.headers.txt","C:\Users\X290604\Projects\Crawler Review\claude-searchbot.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\claude-searchbot.product-schema.json"
"Perplexity","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; PerplexityBot/1.0; +https://perplexity.ai/perplexitybot)","C:\Users\X290604\Projects\Crawler Review\perplexitybot.html","C:\Users\X290604\Projects\Crawler Review\perplexitybot.headers.txt","C:\Users\X290604\Projects\Crawler Review\perplexitybot.visible-text.txt","C:\Users\X290604\Projects\Crawler Review\perplexitybot.product-schema.json"
